"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"English",1,"Male",32,"No","","Yes","Yes",0
1,"English",0,"Male",28,"no","Thanks","Yes","Not really",1
2,"english",1,"Male",25,"no","","Yes","yes",2
3,"English",1,"Male",27,"There were NO issues or problems.","","Yes","0.50",3
4,"English",1,"Male",29,"no","","Yes","0.40",3
5,"English",0,"Female",21,"No","","Yes",".40",1
6,"English",0,"Female",36,"slight lag","","No","0.50",4
7,"English",1,"Male",23,"Nope","","Yes","Yes",2
8,"english",1,"Male",22,"no problems","","Yes",".40",0
9,"English",1,"Female",27,"no","","Yes","0.30",3
10,"English",0,"Male",25,"No problems","Thanks","Yes","This price is fair",3
11,"English",1,"Female",26,"","","Yes",".40",3
12,"English",0,"Male",27,"","","Yes","0.75",2
13,"English",1,"Female",45,"No.","","Yes","Yes.",2
14,"english",1,"Male",28,"","","Yes","yes",1
15,"English",0,"Female",37,"no","","Yes","yes",2
16,"english",1,"Male",34,"no","","Yes","0.40",4
17,"english",1,"Female",27,"no","","No",".40",3
18,"english",0,"Male",25,"no","","Yes","0.5",2
19,"English",0,"Female",35,"no","","Yes","50 cents",3
20,"english",1,"Male",32,"no","none","Yes","yes",2
21,"english",0,"Male",35,"none that i could see","","Yes","yes",1
22,"english",1,"Male",28,"no","","Yes","0.5",3
23,"English",0,"Female",37,"No.","","Yes",".40",3
24,"english",1,"Male",23,"no","","Yes",".40",1
25,"english",0,"Male",24,"no","","Yes",".50",3
26,"Chinese",-1,"Male",24,"","","Yes",".75",3
27,"ennglish",0,"Male",28,"no","","No",".40",2
28,"english",0,"Male",28,"","","No","0.4",2
29,"ENG",1,"Female",29,"NO","","Yes","Y",3
30,"english",0,"Male",28,"no","","Yes",".50",1
31,"English",1,"Female",45,"","Fun","Yes","yes",3
32,"english",0,"Male",20,"","","Yes",".75",1
33,"english",1,"Male",42,"no","","Yes",".75",1
34,"English",0,"Male",24,"No","","Yes","Yes",3
35,"English",1,"Female",34,"None","","Yes",".50",2
