"","workerid","trial_num","Category","Property","response"
"1",0,1,"Sharks","lay eggs",0.05
"2",0,3,"Tigers","dont eat people",0.04
"3",0,5,"Ticks","dont carry Lyme disease",0.04
"4",0,6,"Robins","are female",0.5
"5",0,7,"Lions","have manes",0.84
"6",0,9,"Ducks","have wings",0.28
"7",0,10,"Peacocks","dont have beautiful feathers",0.03
"8",0,11,"Mosquitos","dont carry malaria",0.11
"9",0,12,"Tigers","have pouches",0.06
"10",0,13,"Kangaroos","have spots",0.06
"11",0,16,"Mosquitos","carry malaria",0.86
"12",0,18,"Robins","lay eggs",0.31
"13",0,19,"Leopards","have wings",0.04
"14",0,21,"Sharks","are white",0.3
"15",0,22,"Sharks","have manes",0.05
"16",0,23,"Leopards","have spots",0.72
"17",0,24,"Kangaroos","are juvenile",0.06
"18",0,27,"Sharks","dont attack swimmers",0.21
"19",0,28,"Peacocks","have beautiful feathers",0.64
"20",0,30,"Ticks","carry Lyme disease",0.81
"21",0,31,"Cardinals","are red",0.61
"22",0,32,"Kangaroos","have pouches",0.75
"23",0,33,"Leopards","are full-grown",0.35
"24",0,34,"Mosquitos","attack swimmers",0
"25",0,35,"Lions","are male",0.4
"26",0,36,"Swans","are white",0.35
"27",0,37,"Robins","carry malaria",0.04
"28",0,38,"Lions","lay eggs",0
"29",0,39,"Sharks","attack swimmers",0.62
"30",0,40,"Tigers","eat people",0.5
"31",1,1,"Kangaroos","are juvenile",0.19
"32",1,2,"Mosquitos","attack swimmers",0.95
"33",1,3,"Tigers","have pouches",0
"34",1,4,"Mosquitos","dont carry malaria",0.05
"35",1,5,"Sharks","have manes",0
"36",1,6,"Tigers","eat people",0.65
"37",1,8,"Sharks","are white",0.78
"38",1,10,"Swans","are white",0.98
"39",1,11,"Cardinals","are red",0.98
"40",1,12,"Tigers","dont eat people",0.67
"41",1,14,"Leopards","have spots",1
"42",1,16,"Sharks","have manes",0
"43",1,17,"Robins","are female",0.7
"44",1,18,"Peacocks","dont have beautiful feathers",0.23
"45",1,19,"Kangaroos","have pouches",1
"46",1,21,"Leopards","are full-grown",0.68
"47",1,22,"Ticks","carry Lyme disease",1
"48",1,23,"Lions","are male",0.68
"49",1,24,"Leopards","have wings",0
"50",1,25,"Sharks","attack swimmers",0.96
"51",1,26,"Ducks","have wings",1
"52",1,27,"Mosquitos","carry malaria",1
"53",1,30,"Peacocks","have beautiful feathers",0.99
"54",1,31,"Lions","have manes",1
"55",1,33,"Sharks","dont attack swimmers",0.61
"56",1,34,"Ticks","dont carry Lyme disease",0.26
"57",1,35,"Lions","lay eggs",0
"58",1,37,"Robins","carry malaria",0
"59",1,38,"Kangaroos","have spots",0.04
"60",1,39,"Sharks","lay eggs",0.94
"61",1,40,"Robins","lay eggs",0.94
"62",2,1,"Ducks","have wings",0.73
"63",2,2,"Mosquitos","dont carry malaria",0.1
"64",2,3,"Lions","have manes",1
"65",2,4,"Mosquitos","attack swimmers",0.65
"66",2,5,"Ticks","carry Lyme disease",1
"67",2,6,"Leopards","have spots",0.84
"68",2,8,"Sharks","have manes",0
"69",2,9,"Robins","are female",0.51
"70",2,11,"Kangaroos","have pouches",0.82
"71",2,12,"Kangaroos","have spots",0.08
"72",2,13,"Leopards","have wings",0
"73",2,14,"Mosquitos","carry malaria",0.93
"74",2,15,"Kangaroos","have pouches",0.9
"75",2,16,"Sharks","dont attack swimmers",0.06
"76",2,18,"Peacocks","dont have beautiful feathers",0.16
"77",2,19,"Tigers","have pouches",0.04
"78",2,21,"Mosquitos","carry malaria",0.93
"79",2,23,"Sharks","attack swimmers",0.86
"80",2,24,"Kangaroos","are juvenile",0.64
"81",2,25,"Cardinals","are red",0.98
"82",2,26,"Sharks","are white",0.6
"83",2,27,"Lions","are male",0.53
"84",2,28,"Lions","lay eggs",0
"85",2,29,"Sharks","lay eggs",0
"86",2,30,"Leopards","are full-grown",0.58
"87",2,31,"Swans","are white",0.94
"88",2,32,"Tigers","dont eat people",0.27
"89",2,33,"Robins","lay eggs",1
"90",2,34,"Peacocks","have beautiful feathers",0.94
"91",2,35,"Leopards","are full-grown",0.64
"92",2,36,"Robins","carry malaria",0.06
"93",2,38,"Ticks","dont carry Lyme disease",0.08
"94",2,39,"Tigers","eat people",0.87
"95",3,1,"Kangaroos","have pouches",1
"96",3,2,"Tigers","dont eat people",0
"97",3,4,"Ticks","carry Lyme disease",0.98
"98",3,5,"Ducks","have wings",0.97
"99",3,6,"Sharks","lay eggs",0.49
"100",3,7,"Leopards","have wings",0.01
"101",3,8,"Robins","lay eggs",0.97
"102",3,9,"Tigers","eat people",0.96
"103",3,12,"Lions","lay eggs",0.05
"104",3,13,"Kangaroos","have spots",0.02
"105",3,14,"Robins","carry malaria",0.77
"106",3,15,"Sharks","have manes",0.04
"107",3,16,"Lions","are male",0.56
"108",3,17,"Mosquitos","dont carry malaria",0.55
"109",3,19,"Lions","have manes",0.96
"110",3,21,"Tigers","have pouches",0.05
"111",3,22,"Robins","are female",0.74
"112",3,23,"Peacocks","have beautiful feathers",1
"113",3,24,"Kangaroos","have pouches",0.94
"114",3,25,"Sharks","dont attack swimmers",0.25
"115",3,26,"Cardinals","are red",1
"116",3,27,"Mosquitos","attack swimmers",0
"117",3,28,"Peacocks","dont have beautiful feathers",0
"118",3,29,"Sharks","are white",0.84
"119",3,30,"Kangaroos","are juvenile",0.32
"120",3,31,"Ticks","dont carry Lyme disease",0.15
"121",3,33,"Mosquitos","carry malaria",0.93
"122",3,34,"Sharks","attack swimmers",0.57
